,Link,Title,Company,Location,Salary,Days
391,https://in.indeed.com/company/Knowledge-Sourcing-Intelligence-LLP/jobs/Market-Research-Analyst-47a2b26fb58a2149?fccid=e3e6df4c223a1108&vjs=3,Market Research Analyst,Knowledge Sourcing Intelligence LLP,"Noida, Uttar Pradesh","₹20,000 - ₹25,000 a month",EmployerActive 5 days ago
175,https://in.indeed.com/company/Responsive-Industries-Limited/jobs/Data-Research-Analyst-01395082a16cc5c4?fccid=e3c7c7c20cf6a19a&vjs=3,Data Research Analyst,Responsive Industries Limited,"Mumbai, Maharashtra","₹20,000 - ₹30,000 a month",EmployerActive 1 day ago
774,https://in.indeed.com/company/Varsity-Educational-Management-Pvt.-Ltd/jobs/Data-Analyst-884ba27889f174a6?fccid=2c526ca9b704cf55&vjs=3,Data Analyst,Varsity Educational Management Pvt. Ltd,"Madhapur, Hyderabad, Telangana","₹20,000 - ₹30,000 a month",EmployerActive 1 day ago
681,https://in.indeed.com/company/Trip-Machine-Company/jobs/Mis-Analyst-c85637f7505881d7?fccid=2059893d73ad9d32&vjs=3,MIS Analyst,Trip Machine Company,"Gurgaon, Haryana","₹20,000 - ₹35,000 a month",EmployerActive 9 days ago
634,https://in.indeed.com/company/Technossus-Software-Services-Pvt.-Ltd/jobs/Business-Analyst-b84d5048788cc5a3?fccid=1ad4f8900f8c8bb9&vjs=3,Business Analyst,Technossus Software Services Pvt. Ltd,"Remote in Mohali, Punjab","₹20,000 - ₹50,000 a month",EmployerActive 19 days ago
856,https://in.indeed.com/company/Technossus-Software-Services-Pvt.-Ltd/jobs/Business-Analyst-b84d5048788cc5a3?fccid=1ad4f8900f8c8bb9&vjs=3,Business Analyst,Technossus Software Services Pvt. Ltd,"Remote in Mohali, Punjab","₹20,000 - ₹50,000 a month",EmployerActive 19 days ago
51,https://in.indeed.com/company/paigam/jobs/Data-Analyst-01b398fedf294a21?fccid=efcfdae4e5052328&vjs=3,Data Analyst,PAIGAM,"Remote in Delhi, Delhi","₹20,000 a month",EmployerActive 1 day ago
826,https://in.indeed.com/company/Candela-Learnings/jobs/SEO-Analyst-cbe1b91866f44903?fccid=0d8613c132046c97&vjs=3,SEO Analyst,Candela Learnings,"Calicut, Kerala","₹20,833 - ₹58,333 a month",EmployerActive 5 days ago
37,https://in.indeed.com/company/Broomees-India-Pvt.-Ltd./jobs/Data-Analyst-2e2f0d11fcf5e346?fccid=3029729e683d15c3&vjs=3,Data Analyst,Broomees India Pvt. Ltd.,"Delhi, Delhi","₹25,000 - ₹30,000 a month",EmployerActive 3 days ago
596,https://in.indeed.com/company/Whitespace-Global/jobs/Data-Analyst-ae5ee657d2a4b400?fccid=f83b9b35c58555bf&vjs=3,Data Analyst,Whitespace Global,"Andheri, Mumbai, Maharashtra","₹25,000 - ₹30,000 a month",EmployerActive 4 days ago
684,https://in.indeed.com/company/Whitespace-Global/jobs/Data-Analyst-ae5ee657d2a4b400?fccid=f83b9b35c58555bf&vjs=3,Data Analyst,Whitespace Global,"Andheri, Mumbai, Maharashtra","₹25,000 - ₹30,000 a month",EmployerActive 4 days ago
959,https://in.indeed.com/company/Nasher-Miles-Private-Limited/jobs/Data-Analyst-4f459c8ca874380a?fccid=186c1a26060954bf&vjs=3,Data Analyst,Nasher Miles Private Limited,"Mumbai, Maharashtra","₹25,000 - ₹30,000 a month",EmployerActive 24 days ago
10,https://in.indeed.com/company/bansal-trading/jobs/Data-Analyst-98384cfb0c5ae2ab?fccid=81942089810d41e7&vjs=3,Data Analyst,Bansal Trading Company,"Wazirpur Phase Iii, Delhi","₹25,000 - ₹35,000 a month",EmployerActive 1 day ago
871,https://in.indeed.com/company/Foco-Blanco/jobs/Business-Analyst-c3919f8c7dc01d78?fccid=a364c37ded0a4aa8&vjs=3,Business Analyst,Foco Blanco Digital Media Network LLP,"Bengaluru, Karnataka","₹25,000 - ₹35,000 a month",EmployerActive 6 days ago
948,https://in.indeed.com/company/Empire-Prime-Realty/jobs/Data-Analyst-f847d3c87336dfe0?fccid=ea6e5ea308c1e418&vjs=3,Data Analyst,Empire Prime Realty,"Thane, Maharashtra","₹25,000 - ₹40,000 a month",EmployerActive 6 days ago
322,https://in.indeed.com/company/Zenworx-Knowledge-Partners/jobs/Research-Associate-527ec12d684e5346?fccid=ac5d294f088faf60&vjs=3,Research Associate / Analyst,Zenworx Knowledge Partners LLP,+1 locationRemote,"₹25,000 - ₹45,000 a month",EmployerActive 1 day ago
66,https://in.indeed.com/company/mea-platforms-group-ltd/jobs/Data-Analyst-017492721fc0ea4c?fccid=d6836e1bce4d821a&vjs=3,Data Analyst,mea platforms group ltd,"Remote in Bengaluru, Karnataka","₹3,00,000 - ₹3,50,000 a year",EmployerActive 4 days ago
411,https://in.indeed.com/company/Zenworx-Knowledge-Partners/jobs/Reseach-Associate-b8e82c620251b0f5?fccid=ac5d294f088faf60&vjs=3,Reseach Associate / Analyst,Zenworx Knowledge Partners LLP,Remote,"₹3,00,000 - ₹3,50,000 a year",EmployerActive 1 day ago
842,https://in.indeed.com/company/Zenworx-Knowledge-Partners/jobs/Reseach-Associate-b8e82c620251b0f5?fccid=ac5d294f088faf60&vjs=3,Reseach Associate / Analyst,Zenworx Knowledge Partners LLP,Remote,"₹3,00,000 - ₹3,50,000 a year",EmployerActive 1 day ago
862,https://in.indeed.com/company/NIIF-Infrastructure-Finance-Limited/jobs/Data-Analyst-f74809ae085e4464?fccid=8f0e5c267ee00eb8&vjs=3,Data Analyst,NIIF Infrastructure Finance Limited,"Mumbai, Maharashtra","₹3,00,000 - ₹3,50,000 a year",EmployerActive 1 day ago
56,https://in.indeed.com/company/Foxberry-Technology-Pvt-Ltd/jobs/Data-Analyst-Tabaleu-Excel-Powerbi-Year-f2112ed841a97ae4?fccid=6f0db1bbf87b256e&vjs=3,Data Analyst-Tabaleu-Excel-Powerbi-2+years,Foxberry Technology Pvt Ltd,"Pune, Maharashtra","₹3,00,000 - ₹5,00,000 a year",EmployerActive 1 day ago
208,https://in.indeed.com/company/NOVEL-FINANCIALS-BUSINESS-SOLUTIONS-PVT-LTD/jobs/Data-Analyst-24496f82b2973a93?fccid=434ea19e34ffc039&vjs=3,Data Analyst,NOVEL FINANCIALS BUSINESS SOLUTIONS PVT LTD,"Mumbai, Maharashtra","₹3,50,000 - ₹5,50,000 a year",EmployerActive 3 days ago
265,https://in.indeed.com/company/NOVEL-FINANCIALS-BUSINESS-SOLUTIONS-PVT-LTD/jobs/Data-Analyst-24496f82b2973a93?fccid=434ea19e34ffc039&vjs=3,Data Analyst,NOVEL FINANCIALS BUSINESS SOLUTIONS PVT LTD,"Mumbai, Maharashtra","₹3,50,000 - ₹5,50,000 a year",EmployerActive 3 days ago
143,https://in.indeed.com/company/DSSD-Computer-Education/jobs/Data-Analyst-Trainer-f1d66c0d05dea1fe?fccid=86ba90ea7cbd43e1&vjs=3,Data Analyst Trainer,DSSD Computer Education,"New Delhi, Delhi","₹30,000 - ₹35,000 a month",EmployerActive 2 days ago
318,https://in.indeed.com/company/The-Cai-Store/jobs/Data-Analyst-3df4c4931dd58bf9?fccid=e6f10f12a261622c&vjs=3,Data Analyst,The CAI Store,"Mumbai, Maharashtra","₹30,000 - ₹40,000 a month",EmployerActive 1 day ago
352,https://in.indeed.com/company/Zotto-Ltd/jobs/Data-Analyst-79a3a4689b683296?fccid=1cdd2ca288471efb&vjs=3,Data Analyst,Zotto Ltd,"Bengaluru, Karnataka","₹30,000 - ₹40,000 a month",EmployerActive 1 day ago
216,https://in.indeed.com/company/Vihaa-Technologies-LLP/jobs/Research-Analyst-420a7bd8f5e150e9?fccid=40b317ac597011e2&vjs=3,Research Analyst,Vihaa Technologies LLP,"Ahmedabad, Gujarat","₹30,000 - ₹50,000 a month",EmployerActive 3 days ago
273,https://in.indeed.com/company/Vihaa-Technologies-LLP/jobs/Research-Analyst-420a7bd8f5e150e9?fccid=40b317ac597011e2&vjs=3,Research Analyst,Vihaa Technologies LLP,"Ahmedabad, Gujarat","₹30,000 - ₹50,000 a month",EmployerActive 3 days ago
586,https://in.indeed.com/company/edutech/jobs/Data-Analyst-04a67acd3fd97cf2?fccid=4afd41d88079fcd2&vjs=3,Data Analyst,edutech,"Chandigarh, Chandigarh","₹30,000 - ₹60,000 a month",EmployerActive 3 days ago
445,https://in.indeed.com/company/Open-Secret/jobs/Opensecret-88c9651fe044f568?fccid=9c5de7503ba75f8b&vjs=3,OpenSecret- Data Analyst,Open Secret,"Mumbai, Maharashtra","₹35,000 - ₹40,000 a month",EmployerActive 1 day ago
570,https://in.indeed.com/company/PBI-Analytics/jobs/Business-Analyst-fd3eb7eb794c9048?fccid=d4aa60902c812037&vjs=3,Business Analyst,PBI Analytics,"Mumbai, Maharashtra","₹4,00,000 - ₹12,00,000 a year",EmployerActive 2 days ago
485,https://in.indeed.com/company/Drinkprime/jobs/Data-Analyst-173529968172e91c?fccid=0a2643a75868801e&vjs=3,Data Analyst,DrinkPrime,"Bengaluru, Karnataka","₹4,00,000 - ₹6,00,000 a year",EmployerActive 1 day ago
566,https://in.indeed.com/company/Proveera-Private-Limited/jobs/Data-Research-Analyst-186414b9b5eb031b?fccid=cf9f1b04965436e9&vjs=3,Data Research Analyst,Proveera Private Limited,"Ahmedabad, Gujarat","₹45,000 - ₹50,000 a month",EmployerActive 2 days ago
